epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.768,1.28291,4.17421,1.48415,0.03252,0.07993,0.05532,0.03767,1.08398,4.43459,1.34749,0.0001052,0.0001052,0.0001052
2,224.71,1.18748,2.92704,1.42558,0.99745,0.04291,0.08043,0.05187,1.20627,3.75559,1.34323,0.000204985,0.000204985,0.000204985
3,353.319,1.12731,2.34707,1.3658,0.95953,0.05664,0.11229,0.07386,1.13214,3.34988,1.30006,0.000293834,0.000293834,0.000293834
4,479.829,1.05712,2.09484,1.31118,0.93844,0.0664,0.20983,0.14306,1.18557,3.11231,1.40827,0.000371748,0.000371748,0.000371748
5,606.744,1.0368,1.933,1.30998,0.86635,0.24418,0.37875,0.25451,1.09077,2.58968,1.31379,0.000421852,0.000421852,0.000421852
6,725.218,1.04436,1.84534,1.31294,0.71877,0.33893,0.46598,0.27398,1.0686,2.16923,1.31501,0.000395815,0.000395815,0.000395815
7,852.234,1.0336,1.65262,1.27047,0.74063,0.44727,0.51602,0.32013,1.04757,2.12792,1.31373,0.000369778,0.000369778,0.000369778
8,980.496,1.0064,1.59147,1.2657,0.71698,0.48349,0.51753,0.36307,0.99189,1.75151,1.25879,0.000343741,0.000343741,0.000343741
9,1107.17,0.9456,1.38114,1.20996,0.77126,0.52597,0.56785,0.39112,0.96544,1.67876,1.24315,0.000317704,0.000317704,0.000317704
10,1235.56,0.96589,1.37613,1.24022,0.90543,0.51419,0.62103,0.43568,0.96197,1.58391,1.2376,0.000291667,0.000291667,0.000291667
11,1363.68,0.85415,1.6234,1.15947,0.86697,0.6162,0.67562,0.48604,0.96036,1.52857,1.24314,0.00026563,0.00026563,0.00026563
12,1490.59,0.83867,1.52471,1.16349,0.85035,0.61973,0.68644,0.49658,0.93153,1.46795,1.20874,0.000239593,0.000239593,0.000239593
13,1680.91,0.79447,1.40028,1.12942,0.91166,0.58381,0.63853,0.45074,0.93003,1.50355,1.24068,0.000213556,0.000213556,0.000213556
14,1984.85,0.75513,1.32342,1.10963,0.90612,0.59381,0.68405,0.50514,0.87041,1.29557,1.17063,0.000187519,0.000187519,0.000187519
15,2241.85,0.72236,1.24955,1.08788,0.88267,0.67552,0.70663,0.52769,0.84079,1.19597,1.14845,0.000161482,0.000161482,0.000161482
16,2464.89,0.69906,1.22303,1.06949,0.90912,0.70399,0.72533,0.54041,0.82951,1.15872,1.13803,0.000135445,0.000135445,0.000135445
17,2858.76,0.65033,1.14608,1.02648,0.91778,0.70729,0.74665,0.57179,0.80286,1.13078,1.13131,0.000109408,0.000109408,0.000109408
18,3267.03,0.6548,1.13263,1.04941,0.92726,0.68632,0.7688,0.59433,0.81635,1.11728,1.11851,8.3371e-05,8.3371e-05,8.3371e-05
19,3679.76,0.64264,1.11819,1.02449,0.93052,0.68885,0.77395,0.60806,0.79664,1.06833,1.10811,5.7334e-05,5.7334e-05,5.7334e-05
20,3906.97,0.62499,1.08475,1.02233,0.92867,0.70728,0.77391,0.61226,0.76992,1.05622,1.10107,3.1297e-05,3.1297e-05,3.1297e-05
